timestamp,approved,reason,symbol,action,position_size,stop_loss,take_profit,risk_reward_ratio,risk_amount,entry_price
2026-01-08T05:48:26.747052+00:00,True,Trade approved by Risk Manager.,AAPL,buy,133,142.5000,,,1000.00,150.00
2026-01-08T05:48:26.748896+00:00,True,Trade approved by Risk Manager.,AAPL,buy,200,145.00,,,1000.00,150.00
2026-01-08T05:48:26.750312+00:00,True,Approval to sell existing position.,AAPL,sell,100,,,,0.0,
2026-01-08T05:48:26.751708+00:00,False,Stop loss (151.00) must be below entry price (150.00) for a BUY action.,AAPL,buy,0,151.00,,,0,150.00
2026-01-08T05:48:26.753086+00:00,False,Calculated position size is 0. Must be greater than zero.,AAPL,buy,0,135.0000,,,10.00,150.00
2026-01-08T05:48:26.754404+00:00,False,"Invalid action 'hold'. Allowed actions are: buy, sell, short, cover.",AAPL,hold,0,,,,,
2026-01-08T05:48:26.755783+00:00,False,Sell rejected. No existing position to sell.,AAPL,sell,0,,,,0.0,
2026-01-08T05:48:26.757252+00:00,True,Position size scaled down from 66 to 6 to respect max_position_pct.,AAPL,buy,6,148.5000,,,9.0000,150.00
2026-01-08T05:48:43.772350+00:00,False,Input validation failed: entry_price must be greater than 0 for buy/short actions.,GOOGL,buy,0,,,,,
2026-01-08T05:48:43.832618+00:00,False,Position size scaled down to 0 which is not a valid size.,GOOGL,buy,0,2716.000000000000003108624469,,,100.0000000000000020816681712,2800
